Mês,Código SH2,Descrição SH2,Exportação - 2025 - Valor US$ FOB,Exportação - 2025 - Quilograma Líquido,Importação - 2025 - Valor US$ FOB,Importação - 2025 - Quilograma Líquido,Exportação - 2024 - Valor US$ FOB,Exportação - 2024 - Quilograma Líquido,Importação - 2024 - Valor US$ FOB,Importação - 2024 - Quilograma Líquido,Exportação - 2023 - Valor US$ FOB,Exportação - 2023 - Quilograma Líquido,Importação - 2023 - Valor US$ FOB,Importação - 2023 - Quilograma Líquido,Exportação - 2022 - Valor US$ FOB,Exportação - 2022 - Quilograma Líquido,Importação - 2022 - Valor US$ FOB,Importação - 2022 - Quilograma Líquido,Exportação - 2021 - Valor US$ FOB,Exportação - 2021 - Quilograma Líquido,Importação - 2021 - Valor US$ FOB,Importação - 2021 - Quilograma Líquido,Exportação - 2020 - Valor US$ FOB,Exportação - 2020 - Quilograma Líquido,Importação - 2020 - Valor US$ FOB,Importação - 2020 - Quilograma Líquido,Exportação - 2019 - Valor US$ FOB,Exportação - 2019 - Quilograma Líquido,Importação - 2019 - Valor US$ FOB,Importação - 2019 - Quilograma Líquido,Exportação - 2018 - Valor US$ FOB,Exportação - 2018 - Quilograma Líquido,Importação - 2018 - Valor US$ FOB,Importação - 2018 - Quilograma Líquido,Exportação - 2017 - Valor US$ FOB,Exportação - 2017 - Quilograma Líquido,Importação - 2017 - Valor US$ FOB,Importação - 2017 - Quilograma Líquido,Exportação - 2016 - Valor US$ FOB,Exportação - 2016 - Quilograma Líquido,Importação - 2016 - Valor US$ FOB,Importação - 2016 - Quilograma Líquido,Exportação - 2015 - Valor US$ FOB,Exportação - 2015 - Quilograma Líquido,Importação - 2015 - Valor US$ FOB,Importação - 2015 - Quilograma Líquido,Exportação - 2014 - Valor US$ FOB,Exportação - 2014 - Quilograma Líquido,Importação - 2014 - Valor US$ FOB,Importação - 2014 - Quilograma Líquido,Exportação - 2013 - Valor US$ FOB,Exportação - 2013 - Quilograma Líquido,Importação - 2013 - Valor US$ FOB,Importação - 2013 - Quilograma Líquido,Exportação - 2012 - Valor US$ FOB,Exportação - 2012 - Quilograma Líquido,Importação - 2012 - Valor US$ FOB,Importação - 2012 - Quilograma Líquido,Exportação - 2011 - Valor US$ FOB,Exportação - 2011 - Quilograma Líquido,Importação - 2011 - Valor US$ FOB,Importação - 2011 - Quilograma Líquido,Exportação - 2010 - Valor US$ FOB,Exportação - 2010 - Quilograma Líquido,Importação - 2010 - Valor US$ FOB,Importação - 2010 - Quilograma Líquido,Exportação - 2009 - Valor US$ FOB,Exportação - 2009 - Quilograma Líquido,Importação - 2009 - Valor US$ FOB,Importação - 2009 - Quilograma Líquido,Exportação - 2008 - Valor US$ FOB,Exportação - 2008 - Quilograma Líquido,Importação - 2008 - Valor US$ FOB,Importação - 2008 - Quilograma Líquido,Exportação - 2007 - Valor US$ FOB,Exportação - 2007 - Quilograma Líquido,Importação - 2007 - Valor US$ FOB,Importação - 2007 - Quilograma Líquido,Exportação - 2006 - Valor US$ FOB,Exportação - 2006 - Quilograma Líquido,Importação - 2006 - Valor US$ FOB,Importação - 2006 - Quilograma Líquido,Exportação - 2005 - Valor US$ FOB,Exportação - 2005 - Quilograma Líquido,Importação - 2005 - Valor US$ FOB,Importação - 2005 - Quilograma Líquido,Exportação - 2004 - Valor US$ FOB,Exportação - 2004 - Quilograma Líquido,Importação - 2004 - Valor US$ FOB,Importação - 2004 - Quilograma Líquido,Exportação - 2003 - Valor US$ FOB,Exportação - 2003 - Quilograma Líquido,Importação - 2003 - Valor US$ FOB,Importação - 2003 - Quilograma Líquido,Exportação - 2002 - Valor US$ FOB,Exportação - 2002 - Quilograma Líquido,Importação - 2002 - Valor US$ FOB,Importação - 2002 - Quilograma Líquido,Exportação - 2001 - Valor US$ FOB,Exportação - 2001 - Quilograma Líquido,Importação - 2001 - Valor US$ FOB,Importação - 2001 - Quilograma Líquido,Exportação - 2000 - Valor US$ FOB,Exportação - 2000 - Quilograma Líquido,Importação - 2000 - Valor US$ FOB,Importação - 2000 - Quilograma Líquido,Exportação - 1999 - Valor US$ FOB,Exportação - 1999 - Quilograma Líquido,Importação - 1999 - Valor US$ FOB,Importação - 1999 - Quilograma Líquido,Exportação - 1998 - Valor US$ FOB,Exportação - 1998 - Quilograma Líquido,Importação - 1998 - Valor US$ FOB,Importação - 1998 - Quilograma Líquido,Exportação - 1997 - Valor US$ FOB,Exportação - 1997 - Quilograma Líquido,Importação - 1997 - Valor US$ FOB,Importação - 1997 - Quilograma Líquido
11. Novembro,68,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes",0,0,0,0,24543,41,837850,476719,12384,193,495899,284419,22308,1122,491342,251505,55820,5482,598308,216165,6904,756,684375,483608,51564,2651,325861,138626,23023,200,492966,272961,21857,789,275864,814167,10616,33,677836,1282000,5384,31,100084,261245,1216,2,166572,230437,38448,915,434559,22660,165489,2382,243840,66671,8783,168,257639,29328,26384,682,222057,68195,21015,27043,65620,1676,10184,85,124546,21147,16470,114,178522,30295,15016,446,8455,419,4632,50,6763,894,1782,33,50077,10839,4703,2791,57902,10248,5814,30,56965,11033,7137,150,15629,2047,2461,108,30535,6361,4292,64,25197,32124,2352,32,41447,5520,2515,10,27133,2074
11. Novembro,63,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos",0,0,0,0,650711,71666,419359,113842,395726,41899,410181,191082,268799,30072,749266,213060,267285,29103,674465,176503,368049,52271,201278,46244,287701,38628,279358,71351,363811,44210,663203,106341,1105026,137226,174261,51690,747010,90040,21777,5575,826685,97151,28776,1673,817890,81699,315630,32465,841688,81526,252282,40854,683978,63662,92877,10979,1002356,77275,352858,42718,1074481,113645,200359,12882,1002863,103778,4914,1165,1328508,143206,117962,8922,2308255,246818,5010,3020,1820982,216830,0,0,1970089,297839,0,0,2592256,374601,0,0,2337163,370901,0,0,1350884,208466,0,0,1701530,247044,0,0,2420660,323267,0,0,3169101,424867,616,14,2909019,324167,678,36,2315528,279682,0,0
11. Novembro,62,"Vestuário e seus acessórios, exceto de Malha",0,0,0,0,265217,5370,689936,48323,272315,3172,97396,36535,74239,3495,71577,3101,47206,2178,57898,12456,194166,10143,518486,56859,127973,4014,532178,48697,226030,3982,293302,15988,250741,9159,353174,31099,154683,8096,537499,37121,295241,14638,1011168,66375,146023,8286,1571429,103684,126093,7317,3539102,206625,122455,6468,1026127,54293,44372,2244,3104626,197424,231419,15356,2926260,215730,223208,11392,416562,25849,286579,18748,643793,55525,297749,18866,174252,15120,543481,36598,2019258,173998,287917,22144,0,0,39137,3954,93171,30031,43764,4789,0,0,145909,18163,0,0,137261,14722,438,96,64622,7210,0,0,139000,13050,0,0,157499,9385,866,7,127465,11434,267,2
11. Novembro,61,"Vestuário e seus acessórios, de malha",0,0,0,0,23663,1781,1348274,141505,68083,1441,227497,17692,70514,2031,195002,22332,5210,196,6395,995,22684,735,954493,102688,42867,801,238022,20943,90240,1972,115462,9289,53235,1235,327552,30513,48443,985,185112,12750,11494,348,254490,17676,2635,44,1026927,69933,57291,3183,1018818,69687,10615,113,872872,57773,12142,441,392613,29515,32495,1525,1282773,81383,97921,10027,294051,24476,56461,3598,245596,18207,63518,7687,257152,16832,65608,6807,23844,2377,30704,3066,0,0,29832,4283,128287,72237,343046,32139,0,0,30208,3264,0,0,136406,8971,3516,254,260981,18638,4083,230,63838,5473,422,10,49237,2412,0,0,138341,6062,0,0
11. Novembro,60,Tecidos de malha,0,0,0,0,355562,33334,432883,197873,137890,9880,173223,71024,227208,19983,803568,292660,134781,11268,275929,109102,35491,4574,553001,213628,34738,1842,440846,132371,50876,2648,279785,111825,28800,3749,273625,118364,17406,2916,481487,177986,16455,872,1264219,260973,1921,950,449457,107649,47741,5796,379206,77480,0,0,341258,74247,0,0,60815,9922,0,0,31305,4628,0,0,0,0,0,0,0,0,55726,7052,0,0,35268,6501,0,0,18933,4396,0,0,95258,17039,0,0,80539,16292,0,0,0,0,0,0,6446,502,0,0,0,0,0,0,0,0,0,0,8628,1051,0,0,0,0,0,0
11. Novembro,59,"Tecidos impregnados, revestidos, recobertos ou estratificados; artigos para usos técnicos de matérias têxteis",0,0,0,0,11584,1306,131215,56310,116567,16750,200852,43635,89688,5059,132917,30632,50658,7255,326386,119081,52613,8151,414972,284340,32102,3761,66930,26045,42858,6012,21296,7158,14131,1623,143569,36116,42281,6246,47570,12353,5624,286,137398,22631,8956,143,153816,9216,13616,1780,106410,7333,5951,380,30780,1573,380,9,109653,838,6157,21,47600,649,3641,239,16799,248,4698,364,11490,361,20055,520,49230,652,5853,164,50351,10371,10215,502,42384,785,1382,127,132630,50254,3997,509,38365,9263,223,49,41050,725,21299,2759,24460,450,352,29,1177,3,582,57,45230,327,3618,264,61328,383,314,13,14935,458
11. Novembro,58,Tecidos especiais; tecidos tufados; rendas; tapeçarias; passamanarias; bordados.,0,0,0,0,74768,8995,24280,8080,17647,2143,227627,46933,29960,3414,119740,39080,39069,5097,1420,128,67171,8980,103626,37100,30142,4266,82253,23788,74459,6797,174729,49148,26491,2666,195687,61519,69104,6897,13805,4730,196669,25806,158522,37244,104414,9164,73242,17389,292271,28618,30593,6675,309084,31696,238023,36248,300237,25497,53198,6898,46641,3209,49863,2304,10302,1049,17449,1723,13058,1234,16376,2080,6600,1175,0,0,0,0,0,0,1744,89,0,0,0,0,885,41,105,9,106,52,0,0,12675,743,219,3,0,0,39897,8091,0,0,1650,84,0,0,0,0,0,0,0,0,0,0
11. Novembro,56,"Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria",0,0,0,0,5509,17,223655,97940,5034,19,113504,40923,22188,293,96910,30743,5884,20,197597,77040,12463,42,212702,87537,900,4,13516,6108,1903,7,116007,44395,1036,15,60550,24539,4133,35,364066,99053,158,0,51216,16701,432,1,3275,259,996,3,155449,72680,5019,32,3073,1257,3092,47,153216,127843,3542,91,62425,44246,62,0,11802,1653,2496,81,455,5,0,0,1583,13,23,0,2988,24,0,0,481,1,1224,4,868,9,0,0,24596,905,0,0,4388,503,0,0,88627,16580,0,0,16720,600,0,0,20622,1309,0,0,2381,430,0,0,2108,280
11. Novembro,55,"Fibras sintéticas ou artificiais, descontínuas",0,0,0,0,30666,3929,2263541,993639,17870,2214,217082,65398,19883,2603,220835,81670,4059,525,651699,208149,6871,743,824175,257528,6775,680,606598,194712,3966,363,382889,172595,1683,152,571704,301662,2073,218,211923,102395,3810,319,134986,65480,12432,1202,46750,24978,5405,419,61440,25419,5700,371,759281,261103,862,112,43138,24871,0,0,1773055,572362,0,0,1397816,481277,0,0,326434,118005,0,0,0,0,140,14,164969,60646,0,0,0,0,0,0,381411,250365,0,0,34384,17309,0,0,0,0,0,0,0,0,0,0,82081,35194,0,0,28943,17242,925,100,0,0,0,0,69899,14609
11. Novembro,54,Filamentos sintéticos ou artificiais,0,0,0,0,5754,661,4059974,1548976,47385,3512,792868,280127,49369,5201,2627959,921590,48408,5908,1072828,418587,83216,13445,1094848,640894,23670,3113,1364818,533817,32069,4154,2315500,1083209,54787,7447,2158908,1200399,37479,4447,692234,319337,15525,2716,1687772,881908,21269,2497,2095435,695830,79395,8212,1220539,625357,50722,5001,848706,231905,170526,13056,566706,129324,143572,12835,1091826,440329,153620,12460,398232,200535,69444,5191,307418,130000,79515,6363,385687,161510,28912,3578,491604,299809,28748,3461,0,0,53865,10978,244524,180161,39616,9300,105709,54291,6972,1688,351201,298624,91100,15211,151283,46207,53730,7920,652735,343551,6654,1019,401425,226149,0,0,267241,136961,3441,335,53294,16144
