data:text/csv;charset=utf-8,
id_ibge,location,year,age,classes,enrolled,bra_id,num_schools,bra_1,bra_3,bra_5,bra_7,bra_9,enrolled_classes,bra_display,bra_rca,wld_rca,enrolled_growth,enrolled_growth_5
4206009,"Governador Celso Ramos",2011,12.2351,97,2169,"5sc000003",10,"5","5sc","5sc00","5sc0000","5sc000003",22.36082474226804,"5SC000003",false,false,-0.0308311,
4206009,"Governador Celso Ramos",2012,12.3729,99,2116,"5sc000003",11,"5","5sc","5sc00","5sc0000","5sc000003",21.373737373737374,"5SC000003",false,false,-0.0244352,-0.0150777
4206009,"Governador Celso Ramos",2013,12.36,99,2103,"5sc000003",10,"5","5sc","5sc00","5sc0000","5sc000003",21.242424242424242,"5SC000003",false,false,-0.01,-0.01
4206009,"Governador Celso Ramos",2014,12.24,98,2139,"5sc000003",10,"5","5sc","5sc00","5sc0000","5sc000003",21.8265306122449,"5SC000003",false,false,0.02,-0.01
4206009,"Governador Celso Ramos",2015,12.059,96,2100,"5sc000003",11,"5","5sc","5sc00","5sc0000","5sc000003",21.875,"5SC000003",false,false,-0.0182328,-0.0126484
4211900,"Palhoça",2007,12.1477,863,23266,"5sc000004",50,"5","5sc","5sc00","5sc0000","5sc000004",26.95944380069525,"5SC000004",false,false,,
4211900,"Palhoça",2008,12.1926,908,24460,"5sc000004",52,"5","5sc","5sc00","5sc0000","5sc000004",26.938325991189426,"5SC000004",false,false,0.0513195,
4211900,"Palhoça",2009,12.1314,939,24554,"5sc000004",60,"5","5sc","5sc00","5sc0000","5sc000004",26.149094781682642,"5SC000004",false,false,0.00384301,
4211900,"Palhoça",2010,12.1992,906,24074,"5sc000004",55,"5","5sc","5sc00","5sc0000","5sc000004",26.571743929359823,"5SC000004",false,false,-0.0195487,
4211900,"Palhoça",2011,12.2071,971,24316,"5sc000004",57,"5","5sc","5sc00","5sc0000","5sc000004",25.042224510813593,"5SC000004",false,false,0.0100523,
