data:text/csv;charset=utf-8,
id_ibge,location,year,wage,num_jobs,wage_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_est,num_jobs_est,cnae_display,bra_rca,wld_rca
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b06000",0,0.792,0.05,"b","b06","b06000",203,49.109,0,0,"06000",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b07103",0,0.773,0.227,"b","b07","b07103",248,42.542,0,0,"07103",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b07219",0,0.777,0.192,"b","b07","b07219",158,42.048,0,0,"07219",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b07227",0,0.77,0.321,"b","b07","b07227",84,37.113,0,0,"07227",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b07235",0,0.778,0.339,"b","b07","b07235",80,31.918,0,0,"07235",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b07243",0,0.768,0.406,"b","b07","b07243",224,47.876,0,0,"07243",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b07251",0,0.793,0.296,"b","b07","b07251",55,20.684,0,0,"07251",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b07294",0,0.768,0.361,"b","b07","b07294",210,42.607,0,0,"07294",false,false
4209102,"Joinville",2023,1340165.77,297,4512.34,0.071,-0.002,0.038,-0.044,"5sc010107","b08100",1.238,0.755,0.243,"b","b08","b08100",339,41.936,0,0,"08100",true,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b08916",0,0.785,0.264,"b","b08","b08916",188,50.937,0,0,"08916",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b08924",0,0.76,0.061,"b","b08","b08924",172,32.797,0,0,"08924",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b08932",0,0.785,0.254,"b","b08","b08932",105,28.318,0,0,"08932",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b08991",0,0.764,0.327,"b","b08","b08991",247,52.678,0,0,"08991",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b09106",0,0.769,-0.007,"b","b09","b09106",236,66.016,0,0,"09106",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","b09904",0,0.772,0.208,"b","b09","b09904",173,43.437,0,0,"09904",false,false
4209102,"Joinville",2023,14984.17,8,1873.02,-0.377,-0.127,-0.333,-0.118,"5sc010107","c10112",0.008,0.769,0.168,"c","c10","c10112",315,14.253,0,0,"10112",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c10121",0,0.773,0.056,"c","c10","c10121",316,12.159,0,0,"10121",false,false
4209102,"Joinville",2023,697030.78,214,3257.15,0.109,0.173,0.034,0.144,"5sc010107","c10139",0.692,0.757,0.095,"c","c10","c10139",309,23.09,0,0,"10139",false,false
4209102,"Joinville",2023,42644.77,17,2508.52,0.223,0.1,0.133,0.072,"5sc010107","c10201",0.147,0.763,0.112,"c","c10","c10201",245,16.766,0,0,"10201",false,false
4209102,"Joinville",2023,3247.04,2,1623.52,-0.831,0.051,-0.75,0,"5sc010107","c10317",0.01,0.76,0.187,"c","c10","c10317",287,26.67,0,0,"10317",false,false
4209102,"Joinville",2023,77156.09,43,1794.33,-0.021,0.159,-0.104,0.124,"5sc010107","c10325",0.648,0.763,0.065,"c","c10","c10325",189,20.455,0,0,"10325",false,false
4209102,"Joinville",2023,7208.39,3,2402.8,-0.31,0.209,-0.4,0.084,"5sc010107","c10333",0.02,0.769,0.171,"c","c10","c10333",261,39.422,0,0,"10333",false,false
